#Time 1.00000000000000e+00   Step             9   Active Particles            16

#                 ParMass                  ParPosX                  ParPosY                  ParPosZ                  ParVelX                  ParVelY                  ParVelZ                  ParType                  ParAccX                  ParAccY                  ParAccZ                  ParTime
   1.4412753516808152e-03   1.4723155498504639e+00   1.2980890274047852e+00   1.1975430250167847e+00  -8.8778831064701080e-02  -2.6855980977416039e-02  -3.7396665662527084e-02   1.0000000000000000e+00  -8.0055451689986512e-06   2.6646306738257408e-02   4.8436149954795837e-02   1.0000000000000000e+00
   1.4412753516808152e-03   2.0674703121185303e+00   1.5372048616409302e+00   1.1912312507629395e+00  -5.0582788884639740e-02  -2.8665604069828987e-02   1.3349875807762146e-01   1.0000000000000000e+00  -2.4360638111829758e-02  -2.2944353986531496e-03   1.5778748318552971e-02   1.0000000000000000e+00
   1.4412753516808152e-03   7.6205110549926758e-01   2.0128340721130371e+00   7.7535533905029297e-01  -4.7504082322120667e-02  -2.7233339846134186e-02   6.5207161009311676e-02   1.0000000000000000e+00   9.7888708114624023e-03  -6.9660032168030739e-03   1.0752156376838684e-02   1.0000000000000000e+00
   1.4412753516808152e-03   1.4175390005111694e+00   1.6380110979080200e+00   1.3805139064788818e+00   2.0602542906999588e-02   7.2448335587978363e-02  -1.1950632557272911e-02   1.0000000000000000e+00   4.6279396861791611e-02  -5.7971753180027008e-02   1.3963435590267181e-01   1.0000000000000000e+00
   1.4412753516808152e-03   1.4650605916976929e+00   1.6123224496841431e+00   1.4878976345062256e+00  -8.7231919169425964e-02   5.0812024623155594e-02   1.5291860327124596e-02   1.0000000000000000e+00  -2.9755417257547379e-02  -4.9940276890993118e-02  -4.1875015944242477e-02   1.0000000000000000e+00
   1.4412753516808152e-03   5.5572843551635742e-01   1.7879608869552612e+00   2.1736104488372803e+00  -5.3779403679072857e-03   2.3342722561210394e-03  -7.8925617039203644e-02   1.0000000000000000e+00   1.5222102403640747e-02  -3.5474169999361038e-03  -6.1427955515682697e-03   1.0000000000000000e+00
   1.4412753516808152e-03   1.4991942644119263e+00   1.8351043462753296e+00   1.6655678749084473e+00  -1.7352443933486938e-01  -5.3988091647624969e-02   1.6760123893618584e-02   1.0000000000000000e+00  -1.5172830317169428e-03  -6.5923154354095459e-02  -1.8847135826945305e-02   1.0000000000000000e+00
   1.4412753516808152e-03   9.0939271450042725e-01   1.8770022392272949e+00   2.7276859283447266e+00  -1.8084671348333359e-02   1.4819588512182236e-02  -2.3741811513900757e-02   1.0000000000000000e+00   4.2903041467070580e-03  -4.2303139343857765e-03  -1.6008455306291580e-02   1.0000000000000000e+00
   1.4412753516808152e-03   1.5890927314758301e+00   1.5166770219802856e+00   1.8036538362503052e+00   4.9539368599653244e-02   1.9684340059757233e-01  -6.3224725425243378e-02   1.0000000000000000e+00  -4.1226983070373535e-02  -5.5221989750862122e-02  -1.2243565171957016e-01   1.0000000000000000e+00
   1.4412753516808152e-03   1.9715213775634766e+00   1.6000034809112549e+00   1.9111686944961548e+00  -7.4170775711536407e-02  -4.8730991780757904e-02   1.6103374958038330e-01   1.0000000000000000e+00  -3.3902101218700409e-02  -7.0703974924981594e-03  -2.0715638995170593e-02   1.0000000000000000e+00
   1.4412753516808152e-03   1.5779590606689453e+00   1.4367433786392212e+00   1.7042752504348755e+00   4.6072583645582199e-02  -9.9637322127819061e-02  -7.6747827231884003e-02   1.0000000000000000e+00  -8.5715651512145996e-02   5.6772351264953613e-02   5.4984679445624352e-03   1.0000000000000000e+00
   1.4412753516808152e-03   1.9774650335311890e+00   2.7363234758377075e-01   1.6098300218582153e+00  -2.2263957187533379e-02  -1.0631201788783073e-02   1.0637192986905575e-02   1.0000000000000000e+00  -7.6240436173975468e-03   1.5379404649138451e-02  -9.7952247597277164e-04   1.0000000000000000e+00
   1.4412753516808152e-03   1.3900402784347534e+00   1.3770797252655029e+00   1.6232923269271851e+00   1.7597584426403046e-01   2.4336773902177811e-02   6.3428223133087158e-02   1.0000000000000000e+00   9.2163994908332825e-02   1.8590888381004333e-01   8.9498259127140045e-02   1.0000000000000000e+00
   1.4412753516808152e-03   1.3920592069625854e+00   1.4187492132186890e+00   1.6767882108688354e+00  -9.8276168107986450e-02  -8.2660697400569916e-02   1.3241575658321381e-01   1.0000000000000000e+00   8.0557867884635925e-02  -9.2827029526233673e-02  -2.3647676408290863e-01   1.0000000000000000e+00
   1.4412753516808152e-03   1.4461354017257690e+00   1.4023337364196777e+00   1.5157428979873657e+00  -2.0991422235965729e-01  -9.4882071018218994e-02  -8.4388777613639832e-02   1.0000000000000000e+00  -2.5248225778341293e-02   4.9501955509185791e-02   1.4445877075195312e-01   1.0000000000000000e+00
   1.4412753516808152e-03   1.3059810400009155e+00   4.5361566543579102e-01   1.5142735242843628e+00   3.5073678009212017e-03   2.6752274483442307e-02   2.1421384066343307e-02   1.0000000000000000e+00   5.6093498133122921e-03   1.7780981957912445e-02   9.7587384516373277e-04   1.0000000000000000e+00
